INFO	Title	Germ Cell Tumors (GCT) Data Dictionary									
INFO	Name	gct_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The GCT data dictionary is a consensus data schema built by an international group of pediatric germ cell tumor experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Malignant Germ Cell International Consortium (MaGIC). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
											
DD	Protocol										
TD	Subject Characteristics										
TG	One row per subject per study										
VD	HONEST_BROKER_SUBJECT_ID	String		Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	CONSORTIUM	Enum	1 - contributors must include, regardless of the resource cost	The consortium under which this data is being contributed to the Pediatric Cancer Data Commons.	ncit:C61538	_undefined_	_undefined_	_undefined_		New VD	
PD						MaGIC	Malignant Germ Cell International Consortium (MaGIC)	ncit:C192759		New PD	
VD	DISEASE_GROUP	Enum				_undefined_	_undefined_	_undefined_		New VD	
PD						GCT				New PD	
VD	DATA_CONTRIBUTOR_ID	Enum		An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_			
PD						AIEOP	Italian Association of Pediatric Hematology and Oncology	ncit:C168887			
PD						COG	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353			
PD						MRC	A publicly funded organization that is part of United Kingdom Research and Innovation, and is dedicated to improving human health through world-class medical research.	ncit:C168892			
PD						CCLG	A children's cancer charity and United Kingdom and Ireland's professional association for those involved in the treatment and care of children with cancer.	ncit:C177327	Children’s Cancer and Leukaemia Group		
PD						SFCE	An association founded in France in 2003 which promotes the organization of care and scientific research in the field of childhood and adolescent cancer.	ncit:C177328	Société Française de Lutte contre les Cancers et Leucémies de l'Enfant et de l'Adolescent		
PD						SOPOBE	A society founded in 1981 committed to improve the prognosis of children and adolescents with cancer.	ncit:C177329	Brazilian Society of Pediatric Oncology		
PD						DFCI	An institute founded in 1947 in Boston, Massachusetts, committed to providing treatment for adults and children with cancer, and developing cures with cutting-edge research.	ncit:C177330			
PD						NRG-Oncology	A leading protocol organization within the National Clinical Trials Network that seeks to improve the lives of cancer patients by conducting practice-changing, multi-institutional clinical and translational research.	ncit:C177331			
VD	AGE_AT_ENROLLMENT	Integer		Age of subject (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_			
VD	YEAR_AT_ENROLLMENT	Integer		The year at which a subject enrolled in a study.	ncit:C177353	_undefined_	_undefined_	_undefined_			
VD	STUDY_ID	Enum		A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_			
PD						TCGM2004					
PD						TGM85	The identifier TGM85, assigned to a study in an GCT clinical trial.	ncit:C177332			
PD						TGM90	The identifier TGM90, assigned to a study in an GCT clinical trial.	ncit:C177333			
PD						TGM95	The identifier TGM95, assigned to a study in an GCT clinical trial.	ncit:C177334			
PD						GC1	The identifier GC1, assigned to a study in an GCT clinical trial.	ncit:C177335			
PD						GC2	The identifier GC2, assigned to a study in an GCT clinical trial.	ncit:C177336			
PD						GOG0078					
PD						GOG0090					
PD						GOG0116	The identifier GOG116, assigned to a study in an GCT clinical trial.	ncit:C177339			
PD						P9749	The identifier P9749, assigned to a study in an GCT clinical trial.	ncit:C177340			
PD						POG9049	The identifier POG9049, assigned to a study in an GCT clinical trial.	ncit:C177341			
PD						AGCT01P1	The identifier AGCT01P1, assigned to a study in an GCT clinical trial.	ncit:C177342			
PD						AGCT0132	The identifier AGCT0132, assigned to a study in an GCT clinical trial.	ncit:C177343			
PD						AGCT0521	The identifier AGCT0521, assigned to a study in an GCT clinical trial.	ncit:C177344			
PD						TE04	The identifier TE04, assigned to a study in an GCT clinical trial.	ncit:C177345			
PD						TE05	The identifier TE05, assigned to a study in an GCT clinical trial.	ncit:C177346			
PD						TE08	The identifier TE08, assigned to a study in an GCT clinical trial.	ncit:C177347			
PD						TE22	The identifier TE22, assigned to a study in an GCT clinical trial.	ncit:C177348			
PD						TE09	The identifier TE09, assigned to a study in an GCT clinical trial.	ncit:C177349			
PD						TE13	The identifier TE13, assigned to a study in an GCT clinical trial.	ncit:C177350			
PD						TE20	The identifier TE20, assigned to a study in an GCT clinical trial.	ncit:C177351			
PD						TIP	The identifier TIP, assigned to a study in an GCT clinical trial.	ncit:C177352			
VD	TREATMENT_ARM	Enum		A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.	ncit:C15538	_undefined_	_undefined_	_undefined_			
PD						TE09:BEP (Cisplatin)	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP)			New PD	
PD						TE09:CEP (Carboplatin)	Patients randomized with the following course sequence: 1): Carboplatin and etoposide (Carboplatin is only used if patients cannot tolerate cisplatin)			New PD	
PD						TE13:BEP	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP)			New PD	
PD						TE13:BEP + GCSF	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP), 2) Filograstim (GCSF)			New PD	
PD						TE13:BOP/VIP	Patients randomized with the following course sequence: 1) Bleomycin, vincristine, cisplatin (BOP), 2) Etoposide, ifosfamide, cisplatin and bleomycin (VIP-B)			New PD	
PD						TE13:BOP/VIP + GCSF	Patients randomized with the following course sequence: 1) Bleomycin, vincristine, cisplatin (BOP), 2) Etoposide, ifosfamide, cisplatin and bleomycin (VIP-B), 3) Filograstim (GCSF)			New PD	
