INFO	Title	PCDC Data Model										
INFO	Name	pcdc_v2.0										
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/pcdc/pcdc_v2.0										
INFO	Used By	aml_v2.0, gct_v2.0, hl_v2.0, nbl_v2.0, nrsts_v2.0, rms_v2.0										
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)										
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/										
INFO	Description	Each disease group in the PCDC network uses a disease-specific data dictionary as the target schema for their data harmonization efforts. The PCDC data model is the full collection these consensus data elements.										
INFO	Total Variables	409										
												
RowType	VariableName	DataType	Tier	VariableSource	VariableDescription	VariableCode	PermissibleValue	ValueSource	ValueDescription	ValueCode	ImplementationNotes	Mappings
												
												
TD	Subject Characteristics											
TG	Refer to each data dictionary for specific table implementation guidance											
VD	HONEST_BROKER_SUBJECT_ID	String	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0 | nbl_v2.0 | nrsts_v2.0 | rms_v2.0	Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_	_undefined_		
VD	CONSORTIUM	Enum	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0 | nbl_v2.0 | nrsts_v2.0 | rms_v2.0	The consortium under which this data is being contributed to the Pediatric Cancer Data Commons.	ncit:C61538	_undefined_	_undefined_	_undefined_	_undefined_		
PD							INTERACT	aml_v2.0	International Pediatric Acute Myeloid Leukemia Consortium (INTERACT). A consortium launched in 2021 as a collaboration between acute myeloid leukemia researchers from Children's Oncology Group, European Pediatric Acute Leukemia, Japan Children's Cancer Group, and St. Jude Children's Research Hospital. To date, INTERACT has identified 18 studies from 10 clinical trials research groups that can be contributed to the data commons, and its statisticians are actively working to harmonize clinical data from more than 6,000 individuals who have had pediatric cancer.	ncit:C192762		
PD							MaGIC	gct_v2.0	Malignant Germ Cell International Consortium (MaGIC)	ncit:C192759		
PD							NODAL	hl_v2.0	Malignant Germ Cell International Consortium (MaGIC)	ncit:C192759		
PD							INRG	nbl_v2.0	International Pediatric Acute Myeloid Leukemia Consortium (INTERACT). A consortium launched in 2021 as a collaboration between acute myeloid leukemia researchers from Children's Oncology Group, European Pediatric Acute Leukemia, Japan Children's Cancer Group, and St. Jude Children's Research Hospital. To date, INTERACT has identified 18 studies from 10 clinical trials research groups that can be contributed to the data commons, and its statisticians are actively working to harmonize clinical data from more than 6,000 individuals who have had pediatric cancer.	ncit:C192762		
PD							INSTRuCT	nrsts_v2.0 | rms_v2.0	International Pediatric Acute Myeloid Leukemia Consortium (INTERACT). A consortium launched in 2021 as a collaboration between acute myeloid leukemia researchers from Children's Oncology Group, European Pediatric Acute Leukemia, Japan Children's Cancer Group, and St. Jude Children's Research Hospital. To date, INTERACT has identified 18 studies from 10 clinical trials research groups that can be contributed to the data commons, and its statisticians are actively working to harmonize clinical data from more than 6,000 individuals who have had pediatric cancer.	ncit:C192762		
VD	DISEASE_GROUP	Enum	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0 | nbl_v2.0 | nrsts_v2.0 | rms_v2.0			_undefined_	_undefined_	_undefined_	_undefined_		
