INFO	Title	Rhabdomyosarcoma (RMS) Data Dictionary									
INFO	Name	rms_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The RMS data dictionary is a consensus data schema built by an international group of pediatric rhabdomyosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Soft Tissue Sarcoma Consortium (INSTRuCT). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableEnum	PermissibleValue	ValueDescription	ValueEnum	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
											
DD	Protocol										
TD	Subject Characteristics										
TG	One row per subject per study										
VD	HONEST_BROKER_SUBJECT_ID	String		Subject identifier assigned by the honest broker.		_undefined_	_undefined_	_undefined_			
VD	CONSORTIUM	Enum	To-do	The consortium under which this data is being contributed to the Pediatric Cancer Data Commons.	ncit:C61538	_undefined_	_undefined_	_undefined_		New VD	
PD						INSTRuCT	International Pediatric Acute Myeloid Leukemia Consortium (INTERACT). A consortium launched in 2021 as a collaboration between acute myeloid leukemia researchers from Children's Oncology Group, European Pediatric Acute Leukemia, Japan Children's Cancer Group, and St. Jude Children's Research Hospital. To date, INTERACT has identified 18 studies from 10 clinical trials research groups that can be contributed to the data commons, and its statisticians are actively working to harmonize clinical data from more than 6,000 individuals who have had pediatric cancer.	ncit:C192762		New PD	
VD	DISEASE_GROUP	Enum				_undefined_	_undefined_	_undefined_		New VD	
PD						RMS				New PD	
VD	DATA_CONTRIBUTOR_ID	Enum		An identifier assigned to a data contributor.		_undefined_	_undefined_	_undefined_			
PD						COG	Children's Oncology Group. An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353		New PD	
PD						EpSSG	European Paediatric Soft Tissue Sarcoma Study Group. An international organization of healthcare professionals devoted to the care and treatment of children and young people with soft tissue sarcoma.	ncit:C192774		New PD	
PD						CWS	Cooperative Weichteilsarkom Studiengruppe. An international pediatric soft tissue sarcoma study group, also known as the Cooperative Soft Tissue Sarcoma Group, that creates guidance for risk-adapted treatment of soft tissue sarcoma and soft tissue tumors in children, adolescents, and young adults in Europe.	ncit:C192777		New PD	
PD						MMT	International Society of Paediatric Oncology Malignant Mesenchymal Tumour Committee. An international pediatric oncology committee that specializes in the research of malignant mesenchymal tumors. Along with the Associazione Italiana Ematologia Oncologia Pediatrica-Soft Tissue Sarcoma Committee (AIEOP-STSC), which was formerly known as the Italian Cooperative Group (ICG), SIOP-MMT founded the European pediatric Soft tissue sarcoma Study Group (EpSSG) and the Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS) study in 2005 with the goal of making pediatric non-rhabdomyosarcoma soft tissue sarcoma treatment uniform across Europe.	ncit:C192775		New PD	
PD						STSC	AIEOP Soft Tissue Sarcoma Committee			New PD	
VD	STUDY_ID	Enum		A sequence of characters used to identify, name, or characterize the study.		_undefined_	_undefined_	_undefined_			
PD						ARST0331	Vincristine, Dactinomycin, and Lower Doses of Cyclophosphamide With or Without Radiation Therapy for Patients With Newly Diagnosed Low-Risk Embryonal/Botryoid/Spindle Cell Rhabdomyosarcoma. This non-randomized phase III trial is studying how well combination chemotherapy and radiation therapy work in treating patients with newly diagnosed low-risk rhabdomyosarcoma. (ClinicalTrials.gov Identifier: NCT00075582)			New PD	
PD						ARST0431	Intensive Multi-Agent Therapy, Including Dose-Compressed Cycles of Ifosfamide/Etoposide (IE) and Vincristine/Doxorubicin/Cyclophosphamide (VDC) for Patients With High-Risk Rhabdomyosarcoma. This phase III trial is studying how well giving high-dose combination chemotherapy together with radiation therapy works in treating patients with newly diagnosed metastatic rhabdomyosarcoma or ectomesenchymoma. (ClinicalTrials.gov Identifier: NCT00354744)			New PD	
PD						ARST0531	Randomized Study of Vincristine, Dactinomycin and Cyclophosphamide (VAC) Versus VAC Alternating With Vincristine and Irinotecan (VI) for Patients With Intermediate-Risk Rhabdomyosarcoma (RMS). This randomized phase III trial is studying two different combination chemotherapy regimens to compare how well they work when given together with radiation therapy in treating patients with newly diagnosed rhabdomyosarcoma. (ClinicalTrials.gov Identifier: NCT00354835)			New PD	
PD						ARST08P1	A Pilot Study to Evaluate Novel Agents (Temozolomide and Cixutumumab [IMC-A12, Anti-IGF-IR Monoclonal Antibody NSC # 742460]) in Combination With Intensive Multi-agent Interval Compressed Therapy for Patients With High-Risk Rhabdomyosarcoma. This randomized pilot clinical trial is studying the side effects and how well giving temozolomide and cixutumumab together with combination chemotherapy works in treating patients with metastatic rhabdomyosarcoma. (ClinicalTrials.gov Identifier: NCT01055314)			New PD	
PD						D9602	Results of the Intergroup Rhabdomyosarcoma Study Group D9602 Protocol, Using Vincristine and Dactinomycin With or Without Cyclophosphamide and Radiation Therapy, for Newly Diagnosed Patients With Low-Risk Embryonal Rhabdomyosarcoma: A Report From the Soft Tissue Sarcoma Committee of the Children's Oncology Group. The objective of this study is to decrease toxicity in similar patients by reducing radiotherapy (RT) doses and eliminating cyclophosphamide for the lowest-risk patients. (Raney RB, Walterhouse DO, Meza JL, et al. Results of the Intergroup Rhabdomyosarcoma Study Group D9602 protocol, using vincristine and dactinomycin with or without cyclophosphamide and radiation therapy, for newly diagnosed patients with low-risk embryonal rhabdomyosarcoma: a report from the Soft Tissue Sarcoma Committee of the Children's Oncology Group. J Clin Oncol. 2011;29(10):1312-1318. doi:10.1200/JCO.2010.30.4469)			New PD	
