INFO	Title	Acute Lymphoblastic Leukemia (ALL) Data Dictionary
INFO	Name	all_v1.0
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/data-dictionaries/all/all_v1.0
INFO	Parent Data Model	pcdc_v1.8
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/
INFO	Description	Acute Lymphoblastic Leukemia (ALL) Data Dictionary
INFO	Total Variables	120

RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings

DD	Protocol									
TD	Subject Identifier
TG	Will be included in every table
VD	PCDC_SUBJECT_ID	String	Mandatory	A unique subject id assigned by the PCDC. Any given individual person will have only one PCDC_SUBJECT_ID regardless of the number of studies in which they appear. If an individual person is on studies from more than one contributor, they may have more than one HONEST_BROKER_SUBJECT_IDs assigned to them by the contributors, but will be resulted to a single PCDC_SUBJECT_ID by PCDC staff.	ncit:C69256	_undefined_	_undefined_	_undefined_


DD	Protocol
TD	Subject Characteristics
TG	One row per subject per study
VD	HONEST_BROKER_SUBJECT_ID	String	Mandatory	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_
VD	DATA_CONTRIBUTOR_ID	Code	Mandatory	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_
PD						COG	Children's Oncology Group. An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353
VD	STUDY_ID	Code	Mandatory	A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_
PD						AALL0331	Outcome in Children With Standard-Risk B-Cell Acute Lymphoblastic Leukemia: Results of Children's Oncology Group Trial AALL0331. Children’s Oncology Group (COG) AALL0331 tested whether intensified postinduction therapy that improves survival in children with high-risk B-cell acute lymphoblastic leukemia (ALL) would also improve outcomes for those with standard-risk (SR) ALL. (Maloney KW, Devidas M, Wang C, et al. Outcome in Children With Standard-Risk B-Cell Acute Lymphoblastic Leukemia: Results of Children's Oncology Group Trial AALL0331. J Clin Oncol. 2020;38(6):602-612. doi:10.1200/JCO.19.01086.)	ncit:C178095
PD						AALL0232	Dexamethasone and High-Dose Methotrexate Improve Outcome for Children and Young Adults With High-Risk B-Acute Lymphoblastic Leukemia: A Report From Children's Oncology Group Study AALL0232. Children’s Oncology Group study AALL0232 tested two interventions to improve survival. Between January 2004 and January 2011, AALL0232 enrolled 3,154 participants 1 to 30 years old with newly diagnosed high-risk B-acute lymphoblastic leukemia. By using a 2 × 2 factorial design, 2,914 participants were randomly assigned to receive dexamethasone (14 days) versus prednisone (28 days) during induction and high-dose methotrexate versus Capizzi escalating-dose methotrexate plus pegaspargase during interim maintenance 1. (Larsen EC, Devidas M, Chen S, et al. Dexamethasone and High-Dose Methotrexate Improve Outcome for Children and Young Adults With High-Risk B-Acute Lymphoblastic Leukemia: A Report From Children's Oncology Group Study AALL0232. J Clin Oncol. 2016;34(20):2380-2388. doi:10.1200/JCO.2015.62.4544)	ncit:C178065
PD						AALL0434	Children's Oncology Group AALL0434: A Phase III Randomized Clinical Trial Testing Nelarabine in Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia. Nelarabine is effective in inducing remission in patients with relapsed and refractory T-cell acute lymphoblastic leukemia (T-ALL) but has not been fully evaluated in those with newly diagnosed disease. From 2007 to 2014, Children’s Oncology Group trial AALL0434 enrolled 1,562 evaluable patients with T-ALL age 1-31 years who received the augmented Berlin-Frankfurt-Muenster (ABFM) regimen with a 2 × 2 pseudo-factorial randomization to receive escalating-dose methotrexate (MTX) without leucovorin rescue plus pegaspargase (C-MTX) or high-dose MTX (HDMTX) with leucovorin rescue. (Dunsmore KP, Winter SS, Devidas M, et al. Children's Oncology Group AALL0434: A Phase III Randomized Clinical Trial Testing Nelarabine in Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia. J Clin Oncol. 2020;38(28):3282-3293. doi:10.1200/JCO.20.00256)	ncit:C178066
PD						AALL08B1	Integration of cytogenomic data for furthering the characterization of pediatric B-cell acute lymphoblastic leukemia: a multi-institution, multi-platform microarray study. A total of 65 patients enrolled on the Children's Oncology Group (COG) study AALL08B1 were identified for study, as cytogenetic and FISH studies had also been performed on these patients, with a central review of those results available for comparison. (Baughn LB, Biegel JA, South ST, et al. Integration of cytogenomic data for furthering the characterization of pediatric B-cell acute lymphoblastic leukemia: a multi-institution, multi-platform microarray study. Cancer Genet. 2015;208(1-2):1-18. doi:10.1016/j.cancergen.2014.11.003)	ncit:C178067
PD						AALL03B1	Classification of Acute Lymphoblastic Leukemia is a COG study from 2003-2011. This clinical trial is studying risk-group classification of patients with newly diagnosed acute lymphoblastic leukemia. Developing a risk-group classification guide may help doctors assign patients with newly diagnosed acute lymphoblastic leukemia to treatment clinical trials. (ClinicalTrials.gov Identifier: NCT00482352)	ncit:C178068
VD	AGE_AT_ENROLLMENT	Number	Mandatory	The age (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_
VD	TREATMENT_ARM	Code	Mandatory	A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.	ncit:C15538	_undefined_	_undefined_	_undefined_
VD	ENROLLED_STATUS	Code	Optional	This variable indicates if the subject was enrolled in the study, or if the subject was not enrolled in the study but received treatment per the study's protocol.	ncit:C168298	_undefined_	_undefined_	_undefined_	Note: refers to if subject was enrolled in the study, or subject was not enrolled in the study but received treatment per the study's protocol.
PD						Enrolled	The study subject is enrolled.	ncit:C142715
PD						Not Enrolled	The study subject is not enrolled.	ncit:C168929


DD	Protocol
TD	Disease Phase Timing
TG	One row per subject per disease phase(s)
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, or a "Progression" phase.
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	AGE_AT_DISEASE_PHASE	Number	Mandatory	Age in days when the diagnosis was made for the disease phase.	ncit:C168972	_undefined_	_undefined_	_undefined_
VD	YEAR_AT_DISEASE_PHASE	Number	Mandatory	Year when the diagnosis was made for the disease phase.	ncit:C168823	_undefined_	_undefined_	_undefined_


DD	Protocol
TD	Course Timing
TG	One row per subject per course(s)
VD	COURSE	Code	Mandatory	The type of protocol treatment course administered.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Prephase	A chemotherapy treatment administered prior to the definitive chemotherapy treatment.	ncit:C168826
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876
PD						Intensification	A second round of intense chemotherapy as part of consolidation therapy.	ncit:C173105
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679
PD						Stem Cell Transplant Conditioning	A regimen that can be used as a conditioning regimen for hematopoietic stem cell transplantation (HSCT).	ncit:C168794
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688
PD						Interim Maintenance	A less intense phase of chemotherapy in between each course of delayed intensification.	ncit:C178069
PD						Delayed Intensification	A repeat of the first two months of induction and consolidation chemotherapy in high-risk and very-high-risk ALL protocols with the goal of eliminating residual drug-resistant cells	ncit:C178270
PD						Continuation	A period in a clinical study during which subjects receive continuation therapy. This therapy is usually different from the therapy given during the induction phase and administered over a longer period of time.	ncit:C123452
PD						Investigational Agent	A new drug or biological drug that is used in a clinical investigation. The term also includes a biological product that is used in vitro for diagnostic purposes.	ncit:C49135
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	AGE_AT_COURSE_START	Number	Mandatory	Age of subject (in days) at the start of the course.	ncit:C168850	_undefined_	_undefined_	_undefined_
VD	AGE_AT_COURSE_END	Number	Mandatory	Age of subject (in days) at the end of the course.	ncit:C168851	_undefined_	_undefined_	_undefined_


DD	Protocol
TD	Off Protocol Therapy/Study
TG	One row per subject per off protocol therapy or off study per reason off
VD	AGE_OFF	Number	Mandatory	Age in Days When Off Protocol Therapy or Study		_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, or a "Progression" phase.
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Mandatory	The type of protocol treatment course administered.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Prephase	A chemotherapy treatment administered prior to the definitive chemotherapy treatment.	ncit:C168826
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876
PD						Intensification	A second round of intense chemotherapy as part of consolidation therapy.	ncit:C173105
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C158876
PD						Stem Cell Transplant Conditioning	A regimen that can be used as a conditioning regimen for hematopoietic stem cell transplantation (HSCT).	ncit:C168794
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688
PD						Interim Maintenance	A less intense phase of chemotherapy in between each course of delayed intensification.	ncit:C178069
PD						Delayed Intensification	A repeat of the first two months of induction and consolidation chemotherapy in high-risk and very-high-risk ALL protocols with the goal of eliminating residual drug-resistant cells	ncit:C178270
PD						Continuation	A period in a clinical study during which subjects receive continuation therapy. This therapy is usually different from the therapy given during the induction phase and administered over a longer period of time.	ncit:C123452
PD						Investigational Agent	A new drug or biological drug that is used in a clinical investigation. The term also includes a biological product that is used in vitro for diagnostic purposes.	ncit:C49135
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	OFF_TYPE	Code	Mandatory	The code used to designate that the subject went off therapy or off the study.	ncit:C173256	_undefined_	_undefined_	_undefined_
PD						Protocol Therapy	No longer receiving protocol therapy.	ncit:C173257
PD						Study	No longer participating in a study; not being followed and will not be retreated.	ncit:C29851
VD	REASON_OFF	Code	Mandatory	A coded value specifying why the subject is removed from a study.	ncit:C93611	_undefined_	_undefined_	_undefined_	Note: If multiple reasons off, include one observation per reason off.
PD						Death	Specifies whether the life of an entity has ceased.	ncit:C93546
PD						Lost to Follow-Up	The subject was not available for follow-up procedures.	ncit:C70740
PD						Completion of Follow-Up	The follow-up protocols were completed.	ncit:C178071
PD						Completion of Planned Therapy	The end of the planned treatment.	ncit:C168935
PD						Physician Decision	A position, opinion or judgment reached after consideration by a physician with reference to subject.	ncit:C48250
PD						Ineligible	The state or quality of being disqualified by law, rule, or provision.	ncit:C40412
PD						Withdrawal of Consent	When the permission to do something is rescinded or withdrawn.	ncit:C48271
PD						Subject/Guardian Refused Further tTeatment	The subject or their guardian has refused further treatment.	ncit:C168934
PD						Subject Non-Compliance	Failure of a patient to follow medical advice, take medication as directed, or adhere to a prescribed course of treatment.	ncit:C91752
PD						Failure to Attain Remission	Remission status was not attained.	ncit:C178072
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Adverse Event	Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s).	ncit:C41331
PD						Secondary Malignancy Neoplasm	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	ANOTHER_STUDY	Code	Mandatory	The subject was enrolled in another therapeutic study after the off protocol study.	ncit:C178073	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234


DD	Demographics
TD	Demographics
TG	One row per subject
VD	SEX	Code	Mandatory	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	ncit:C28421	_undefined_	_undefined_	_undefined_
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	ncit:C20197
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	ncit:C16576
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	RACE	Code	Mandatory	An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.	ncit:C17049	_undefined_	_undefined_	_undefined_
PD						American Indian or Alaska Native	A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB)	ncit:C41259
PD						Asian	A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)	ncit:C41260
PD						Black or African American	A person having origins in any of the Black racial groups of Africa. Terms such as "Haitian" or "Negro" can be used in addition to "Black or African American". (OMB)	ncit:C16352
PD						Multiracial	Having ancestors of several or various races.	ncit:C67109
PD						Native Hawaiian or Other Pacific Islander	A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)	ncit:C41219
PD						White	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)	ncit:C41261
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	ETHNICITY	Code	Mandatory	A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.	ncit:C16564	_undefined_	_undefined_	_undefined_
PD						Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, "Spanish origin," can be used in addition to "Hispanic or Latino." (OMB)	ncit:C17459
PD						Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.	ncit:C41222
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234


DD	Demographics
TD	Medical History
TG	One row per subject per prior medical history
VD	MEDICAL_HISTORY	Code	Mandatory	Medical History		_undefined_	_undefined_	_undefined_
PD						Trisomy 21	A chromosomal abnormality consisting of the presence of a third copy of chromosome 21 in somatic cells.	ncit:C43224
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Determination of a value is not relevant in the current context.	ncit:C48660


DD	Demographics
TD	Survival Characteristics
TG	One row per subject per cause of death, per treatment type, per cause of death detail
VD	AGE_AT_LKSS	Number	Mandatory	Age of subject (in days) at the last known survival status.	ncit:C168844	_undefined_	_undefined_	_undefined_
VD	LKSS	Code	Mandatory	The individual's last known survival status.	ncit:C168931	_undefined_	_undefined_	_undefined_
PD						Alive	Showing characteristics of life; displaying signs of life.	ncit:C37987
PD						Dead	The cessation of life.	ncit:C28554
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	LKSS_WITH_DISEASE	Code	Mandatory	The last known survival status of the individual with the disease.	ncit:C178074	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	AGE_LOST_TO_FOLLOW_UP	Number	Mandatory	Age of subject (in days) when the subject was lost to follow-up.	ncit:C172679	_undefined_	_undefined_	_undefined_
VD	CAUSE_OF_DEATH	Code	Mandatory	The circumstance or condition that results in the death of a living being.	ncit:C81239	_undefined_	_undefined_	_undefined_	Note: If multiple causes of death, include one observation per cause of death.
PD						Disease Progression	An indication that the subject has died due to the progression of their disease.	ncit:C168970
PD						Treatment-Related Mortality	A death that is considered to be causally linked to a treatment.	ncit:C166165
PD						Secondary Malignancy	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	TRM_TYPE	Code	Mandatory	The type of treatment related to the mortality of the subject.	ncit:C173260	_undefined_	_undefined_	_undefined_	Note: If multiple treatment types, include one observation per treatment type.
PD						Stem Cell Transplant	A therapeutic procedure that involves the transplantation of hematopoietic stem cells, either with the patient as their own donor or from a donor to a patient. This can be used for treatment of malignant and non-malignant diseases.	ncit:C15431
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
