INFO	Title	Ewing Sarcoma (EWS) Data Dictionary									
INFO	Name	ews_v1.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v1.8									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	Ewing Sarcoma (EWS) Data Dictionary									
INFO	Total Variables	190									
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
											
DD	Protocol										
TD	Subject Identifier										
TG	Will be included in every table										
VD	PCDC_SUBJECT_ID	String	Mandatory	A unique identifier for a subject in a study.	ncit:C69256	_undefined_	_undefined_	_undefined_			
											
DD	Protocol										
TD	Subject Characteristics										
TG	One row per patient per study										
VD	HONEST_BROKER_SUBJECT_ID	String	Mandatory	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.		_undefined_	_undefined_	_undefined_			
VD	DATA_CONTRIBUTOR_ID	Code	Mandatory	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_			
PD						UK	An information system in the United Kingdom designed for the collection, storage, and management of data on persons with sarcoma.	ncit:C174963	(United Kingdom Sarcoma Registry)		
PD						GPOH	A research organization in Germany involved in the understanding, diagnosis, treatment and prognosis of pediatric cancers.	ncit:C174960	(German Pediatric Oncology-Hematology Society)		
PD						SSG	A research organization in Scandinavia involved in the understanding, diagnosis, treatment and prognosis of sarcoma in children and adolescents.	ncit:C174961	(Scandinavian Sarcoma Group)		
PD						FSG	A research organization in France involved in the understanding, diagnosis, treatment and prognosis of sarcoma in children and adolescents.	ncit:C174962	(French Sarcoma Group)		
PD						EURO-EWING	A coalition of clinical study groups bringing together active clinicians and scientists in Europe dedicated to improving survival from Ewing sarcoma.	ncit:C174964			
PD						ISG	A independent, scientific non-profit association formed in 2002 with the purpose of improving the quality of treatment for sarcoma.	ncit:C174965	(Italian Sarcoma Group)		
PD						CRCTU	A research organization in the United Kingdom specializing in the design and delivery of every aspect of clinical trials of all phases in adults and children, from concept to publication.	ncit:C174966	(Cancer Research Clinical Trials Unit)		
PD						UCL	A public research university located in London, England.	ncit:C174967	University College of London		
PD						COG	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353	Children's Oncology Group		
VD	STUDY_ID	Code	Mandatory	A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_			
PD						AEWS1221	The identifier AEWS1221, assigned to a study in an EWS clinical trial.	ncit:C174968			
PD						AEWS0331	The identifier AEWS0331, assigned to a study in an EWS clinical trial.	ncit:C174969			
PD						AEWS0031	The identifier AEWS0031, assigned to a study in an EWS clinical trial.	ncit:C174970			
PD						AEWS1031	The identifier AEWS1031, assigned to a study in an EWS clinical trial.	ncit:C174971			
PD						EE99	The identifier EE99, assigned to a study in an EWS clinical trial.	ncit:C174972			
PD						EICESS92	The identifier EICESS92, assigned to a study in an EWS clinical trial.	ncit:C174973			
PD						AEWS07P1	The identifier AEWS07P1, assigned to a study in an EWS clinical trial.	ncit:C174974			
VD	AGE_AT_ENROLLMENT	Number	Mandatory	Age of subject (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_			
VD	TREATMENT_ARM	Code	Mandatory	A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.	ncit:C15538	_undefined_	_undefined_	_undefined_			
PD						3W-VDC-MESNA+IFO-GCSF/AEWS0031	The treatment arm 3W-VDC-MESNA+IFO-GCSF of EWS study AEWS0031.	ncit:C174975	Note: Contributor provides a descriptive code that the user can understand. For examples see tab "Treatment Arms".		
PD						2W-VDC-MESNA+IFO-GCSF/AEWS0031	The treatment arm 2W-VDC-MESNA+IFO-GCSF of EWS study AEWS0031.	ncit:C174976			
PD						VDC/IE/AEWS1221	The treatment arm VDC/IE of EWS study AEWS1221.	ncit:C174977			
PD						VDC/IE+Ganitumab/AEWS1221	The treatment arm VDC/IE+Ganitumab of EWS study AEWS1221.	ncit:C174978			
PD						VIDE-Surgery-R1-VAI-VAC/VAI/AEWS0331	The treatment arm VIDE-Surgery-R1-VAI-VAC/VAI of EWS study AEWS0331.	ncit:C174979			
PD						VIDE-Surgery-R2-VAI-VAI/BuMel/AEWS0331	The treatment arm VIDE-Surgery-R2-VAI-VAI/BuMel of EWS study AEWS0331.	ncit:C174980			
PD						VIDE-Surgery-R3-VAI-MEME/TreoMel/BuMel/P2/AEWS0331	The treatment arm VIDE-Surgery-R3-VAI-MEME/TreoMel/BuMel/P2 of EWS study AEWS0331.	ncit:C174981			
PD						VIDEC/AEWS1031	The treatment arm VIDEC of EWS study AEWS1031.	ncit:C174982			
PD						VIDEC+Topotecan/AEWS1031	The treatment arm VIDEC+Topotecan of EWS study AEWS1031.	ncit:C174983			
PD						SR/VAIA/EICESS92	The treatment arm SR/VAIA of EWS study EICESS92.	ncit:C174984			
PD						SR/VACA/EICESS92	The treatment arm SR/VACA of EWS study EICESS92.	ncit:C174985			
PD						HR/VAIA/EICESS92	The treatment arm HR/VAIA of EWS study EICESS92.	ncit:C174986			
PD						HR/EVAIA/EICESS92	The treatment arm HR/EVAIA of EWS study EICESS92.	ncit:C174987			
PD						VAIA-VACA/AEWS07P1	The treatment arm VAIA-VACA of EWS study AEWS07P1.	ncit:C174988			
