INFO	Title	Germ Cell Tumors (GCT) Data Dictionary
INFO	Name	gct_v1.1
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/gct/gct_v1.1
INFO	Parent Data Model	pcdc_v1.8
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/
INFO	Description	The GCT data dictionary is a consensus data schema built by an international group of pediatric germ cell tumor experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Malignant Germ Cell International Consortium (MaGIC). It is based on the collective requirements of its contributors.
INFO	Total Variables	157

RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)

DD	Protocol
TD	Subject Identifier
TG	Will be included in every table
VD	PCDC_SUBJECT_ID	String		A unique identifier for a subject in a study.	ncit:C69256	_undefined_	_undefined_	_undefined_


DD	Protocol
TD	Subject Characteristics
TG	One row per subject per study
VD	HONEST_BROKER_SUBJECT_ID	String		Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_
VD	DATA_CONTRIBUTOR_ID	Code		An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_
PD						AIEOP	Italian Association of Pediatric Hematology and Oncology	ncit:C168887
PD						COG	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353
PD						MRC	A publicly funded organization that is part of United Kingdom Research and Innovation, and is dedicated to improving human health through world-class medical research.	ncit:C168892
PD						CCLG	A children's cancer charity and United Kingdom and Ireland's professional association for those involved in the treatment and care of children with cancer.	ncit:C177327	Children’s Cancer and Leukaemia Group
PD						SFCE	An association founded in France in 2003 which promotes the organization of care and scientific research in the field of childhood and adolescent cancer.	ncit:C177328	Société Française de Lutte contre les Cancers et Leucémies de l'Enfant et de l'Adolescent
PD						SOPOBE	A society founded in 1981 committed to improve the prognosis of children and adolescents with cancer.	ncit:C177329	Brazilian Society of Pediatric Oncology
PD						DFCI	An institute founded in 1947 in Boston, Massachusetts, committed to providing treatment for adults and children with cancer, and developing cures with cutting-edge research.	ncit:C177330
PD						NRG-Oncology	A leading protocol organization within the National Clinical Trials Network that seeks to improve the lives of cancer patients by conducting practice-changing, multi-institutional clinical and translational research.	ncit:C177331
VD	STUDY_ID	Code		A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_
PD						TCGM2004
PD						TGM85	The identifier TGM85, assigned to a study in an GCT clinical trial.	ncit:C177332
PD						TGM90	The identifier TGM90, assigned to a study in an GCT clinical trial.	ncit:C177333
PD						TGM95	The identifier TGM95, assigned to a study in an GCT clinical trial.	ncit:C177334
PD						GC1	The identifier GC1, assigned to a study in an GCT clinical trial.	ncit:C177335
PD						GC2	The identifier GC2, assigned to a study in an GCT clinical trial.	ncit:C177336
PD						GOG0078
PD						GOG0090
PD						GOG0116	The identifier GOG116, assigned to a study in an GCT clinical trial.	ncit:C177339
