INFO	Title	Hodgkin Lymphoma (HL) Data Dictionary
INFO	Name	hl_v1.0
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/hl/hl_v1.0								
INFO	Parent Data Model	pcdc_v1.8
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/
INFO	Description	Hodgkin Lymphoma (HL) Data Dictionary
INFO	Total Variables	287

RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings

DD	Protocol
TD	Subject Identifier
TG	Will be included in every table
VD	PCDC_SUBJECT_ID	String	Mandatory	A unique identifier for a subject in a study.	ncit:C175600	_undefined_	_undefined_	_undefined_


DD	Protocol
TD	Subject Characteristics
TG	One row per subject per study
VD	HONEST_BROKER_SUBJECT_ID	String	Mandatory	Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_
VD	DATA_CONTRIBUTOR_ID	Code	Mandatory	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_
PD						COG	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353
PD						SJCRH	The Saint Jude Children's Research Hospital received its NCI designation in 1977 and was awarded status as a comprehensive cancer center by NCI in 2008. Research is focused specifically on childhood cancers, acquired and inherited immunodeficiencies and genetic disorders.	ncit:C39510
VD	STUDY_ID	Code	Mandatory	A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_
PD						AHOD0831	The identifier AHOD0831, assigned to a study in a HL clinical trial.	ncit:C185308
