INFO	Title	Neuroblastoma (NBL) Data Dictionary																														
INFO	Name	nbl_v1.2																														
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/nbl/nbl_v1.2																														
INFO	Parent Data Model	pcdc_v1.8																														
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)																														
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/																														
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/																														
INFO	Description	The NBL data dictionary is a consensus data schema built by an international group of pediatric neuroblastoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Neuroblastoma Risk Group (INRG). It is based on the collective requirements of its contributors.																														
INFO	Total Variables	75																														
																																
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	Implementation Notes	Mappings																						
																																
TD	Subject Characteristics																															
TG	One row per subject per treatment arm																															
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker--an individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re-identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	C168949	_undefined_	_undefined_	_undefined_																								
VD	AGE_AT_ENROLLMENT	Number		The age (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_		New VD																						
VD	YEAR_AT_ENROLLMENT	Number		The year at which a subject enrolled in a study.	ncit:C177353	_undefined_	_undefined_	_undefined_		New VD																						
VD	STUDY_ID	Code		A sequence of characters used to identify, name, or characterize the study.		_undefined_	_undefined_	_undefined_	ConsortiumNote: Some patients will have frontline data already in PCDC, we want to link rather than duplicate data for these patients.																							
PD						BEACON																										
VD	TREATMENT_ARM	Code		A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.	C15538	_undefined_	_undefined_	_undefined_																								
PD						Active Comparator: Temozolomide			D4CGNote: STUDY_ID = "BEACON"																							
