INFO	Title	Neuroblastoma (NBL) Data Dictionary																													
INFO	Name	nbl_v1.3																													
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/nbl/nbl_v1.3																													
INFO	Parent Data Model	pcdc_v1.8																													
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)																													
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/																													
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/																													
INFO	Description	The NBL data dictionary is a consensus data schema built by an international group of pediatric neuroblastoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Neuroblastoma Risk Group (INRG). It is based on the collective requirements of its contributors.																													
INFO	Total Variables	77																													
																															
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	Implementation Notes	Mappings																					
																															
DD	Protocol																														
TD	Subject Characteristics																														
TG	One row per subject per study																														
VD	HONEST_BROKER_SUBJECT_ID	String		Honest Broker Subject ID		_undefined_	_undefined_	_undefined_																							
VD	DATA_CONTRIBUTOR_ID	Code		Data Contributor ID		_undefined_	_undefined_	_undefined_																							
PD						COG																									
VD	STUDY_ID	Code		Study Identifier		_undefined_	_undefined_	_undefined_																							
PD						ANBL1221																									
VD	CENSOR_STATUS	Code		Censor Status		_undefined_	_undefined_	_undefined_																							
PD						Subject is censored (i.e. has had no events(s))	The status of a participant or subject in a study whose event or outcome of interest has not yet occurred or has not been observed within the study's follow-up period. Censoring occurs when the event of interest has not happened to a participant by the end of the study or when they are lost to follow-up before the event occurs.	ncit:C118962																							
PD						Subject has had one or more events	The patient has experienced the event of interest within the study period and has reached the endpoint being evaluated, such as disease progression, relapse, recurrence, or death, and their time to event can be accurately recorded and analyzed.																								
VD	AGE_AT_ENROLLMENT	Number		Age of subject (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_		New VD																					
VD	AGE_AT_CENSOR_STATUS	Number		The subject's age (in days) at the time of censor status recording.		_undefined_	_undefined_	_undefined_																							
VD	TREATMENT_ARM	Code		Assigned Treatment Arm by Intention-To-Treat		_undefined_	_undefined_	_undefined_	D4CGNote: This will be an array, with a stratum + treatment arm for each patient																						
PD						Regimen A	Irinotecan and Temozolomide and Temsirolimus																								
PD						Assigned to Regimen B																									
PD						Randomized to Regimen B																									
PD						Stratum 1	Patients whose disease is measurable with conventional CT and/or MRI, no prior anti-GD2 therapy; MYCN amplified tumor			New PD																					
PD						Stratum 2	Patients whose disease is detected by abnormal uptake at >= 1 site on MIBG scan, no prior anti-GD2 therapy; MYCN amplified tumor. Stratum 2 patients may not have measurable disease on CT and/or MRI.			New PD																					
PD						Stratum 3	Patients whose disease is measurable with conventional CT and/or MRI, with prior anti-GD2 therapy; MYCN amplified tumor			New PD																					
PD						Stratum 4	Patients whose disease is detected by abnormal uptake at >= 1 site on MIBG scan, with prior anti-GD2 therapy; MYCN amplified tumor. Stratum 4 patients may not have measurable disease on CT and/or MRI.			New PD																					
PD						Stratum 5	Patients whose disease is measurable with conventional CT and/or MRI, no prior anti-GD2 therapy; MYCN non-amplified tumor			New PD																					
PD						Stratum 6	Patients whose disease is detected by abnormal uptake at >= 1 site on MIBG scan, no prior anti-GD2 therapy; MYCN non-amplified tumor. Stratum 6 patients may not have measurable disease on CT and/or MRI.			New PD																					
PD						Stratum 7	Patients whose disease is measurable with conventional CT and/or MRI, with prior anti-GD2 therapy; MYCN non-amplified tumor			New PD																					
PD						Stratum 8	Patients whose disease is detected by abnormal uptake at >= 1 site on MIBG scan, with prior anti-GD2 therapy; MYCN non-amplified tumor. Stratum 8 patients may not have measurable disease on CT and/or MRI.			New PD																					
PD						Stratum 9	Patients whose disease is measurable with conventional CT and/or MRI, no prior anti-GD2 therapy; MYCN unknown/unable to be determined.			New PD																					
PD						Stratum 10	Patients whose disease is detected by abnormal uptake at >= 1 site on MIBG scan, no prior anti-GD2 therapy; MYCN unknown/unable to be determined. Stratum 10 patients may not have measurable disease on CT and/or MRI.			New PD																					
PD						Stratum 11	Patients whose disease is measurable with conventional CT and/or MRI, with prior anti-GD2 therapy; MYCN unknown/unable to be determined.			New PD																					
PD						Stratum 12	Patients whose disease is detected by abnormal uptake at >= 1 site on MIBG scan, with prior anti-GD2 therapy; MYCN unknown/unable to be determined. Stratum 12 patients may not have measurable disease on CT and/or MRI.			New PD																					
VD	DISEASE_STATE	Code		The state of disease by CT and/or MRI at study enrollment.		_undefined_	_undefined_	_undefined_		New VD																					
PD						Measurable				New PD																					
PD						Evaluable				New PD																					
																															
																															
DD	Protocol																														
TD	Off Protocol Therapy/Study									New TD																					
TG	Refer to each data dictionary for specific table implementation guidance																														
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker--an individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re-identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD																					
VD	AGE_OFF	Number		Age of subject (in days) when subject was off therapy or study.	ncit:C172678	_undefined_	_undefined_	_undefined_		New VD																					
VD	DISEASE_PHASE	Code		The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_		New VD																					
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991		New PD																					
PD						Refractory	Not responding to treatment.	ncit:C38014		New PD																					
VD	DISEASE_PHASE_NUMBER	Number		The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_		New VD																					
VD	OFF_TYPE	Code		The code used to designate that the subject went off therapy or off the study.	ncit:C173256	_undefined_	_undefined_	_undefined_		New VD																					
PD						Protocol Therapy	No longer receiving protocol therapy.	ncit:C173257		New PD																					
VD	REASON_OFF	Code		The reason a subject went off the therapy or study.	ncit:C93611|ncit:C173519|ncit:C169005	_undefined_	_undefined_	_undefined_		New VD																					
PD						Death	Specifies whether the life of an entity has ceased.	ncit:C93546		New PD																					
