INFO	Title	Osteosarcoma (OS) Data Dictionary								
INFO	Name	os_v1.0								
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/data-dictionaries/os/os_v1.0								
INFO	Parent Data Model	pcdc_v1.8								
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)								
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/								
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/								
INFO	Description	Osteosarcoma (OS) Data Dictionary								
INFO	Total Variables	182								
										
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings
										
DD	Protocol									
TD	Subject Identifier									
TG	Will be included in every table									
VD	PCDC_SUBJECT_ID	String	Mandatory	A unique identifier for a subject in a Pediatric Cancer Data Commons (PCDC) study.	ncit:C175600	_undefined_	_undefined_	_undefined_		
										
										
DD	Protocol									
TD	Subject Characteristics									
TG	One row per patient per study									
VD	HONEST_BROKER_SUBJECT_ID	String	Mandatory	Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		
VD	DATA_CONTRIBUTOR_ID	Code	Mandatory	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_		
PD						COG	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353	Children's Oncology Group	
PD						COSS-GPOH	The section of the German Society of Pediatric Oncology and Hematology dedicated to the study of osteosarcoma.	ncit:C186743	Cooperative German-Austrian-Swiss Osteosarcoma Study Group (COSS) of the German Pediatric Oncology-Hematology Society (GPOH)	
PD						UK	An information system in the United Kingdom designed for the collection, storage, and management of data on persons with sarcoma.	ncit:C174963	United Kingdom Sarcoma Registry	
PD						FSG	A research organization in France involved in the understanding, diagnosis, treatment and prognosis of sarcoma in children and adolescents.	ncit:C174962	French Sarcoma Group	
PD						GPOH	A research organization in Germany involved in the understanding, diagnosis, treatment and prognosis of pediatric cancers.	ncit:C174960	German Pediatric Oncology-Hematology Society	
