INFO	Title	Osteosarcoma (OS) Data Dictionary									
INFO	Name	os_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The OS data dictionary is a consensus data schema built by an international group of pediatric osteosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Harmonization International Bone Sarcoma Consortium (HIBiSCus). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
											
											
DD	Protocol										
TD	Subject Characteristics										
TG	One row per patient per study										
VD	HONEST_BROKER_SUBJECT_ID	String	Tier 1	Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	CONSORTIUM	Enum		The consortium under which this data is being contributed to the Pediatric Cancer Data Commons.	ncit:C61538	_undefined_	_undefined_	_undefined_		New VD	
PD						HIBiSCus	Harmonization International Bone Sarcoma Consortium (HIBiSCus)			New PD	
VD	DISEASE_GROUP	Enum				_undefined_	_undefined_	_undefined_		New VD	
PD						OS	Osteosarcoma			New PD	
VD	DATA_CONTRIBUTOR_ID	Enum	Tier 1	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_			
PD						COG	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353			Children's Oncology Group
PD						UK	An information system in the United Kingdom designed for the collection, storage, and management of data on persons with sarcoma.	ncit:C174963			United Kingdom Sarcoma Registry
PD						FSG	A research organization in France involved in the understanding, diagnosis, treatment and prognosis of sarcoma in children and adolescents.	ncit:C174962			French Sarcoma Group
PD						ISG	A independent, scientific non-profit association formed in 2002 with the purpose of improving the quality of treatment for sarcoma.	ncit:C174965			Italian Sarcoma Group
VD	DATA_SOURCE	Enum	Tier 1	The person or authoritative body who provided the information.	ncit:C16493	_undefined_	_undefined_	_undefined_			
PD						Registry	Cancer registries gather a wide variety of specific information on cancer patients that can be analyzed to identify health disparity trends in cancer incidence, mortality and patient survival.	ncit:C15753			
PD						Therapeutic Trial	A clinical study that involves administering of exposure to the agent/agents to subjects with particular disease to elucidate the most appropriate treatment for a specific medical condition, or to prolong or improve the patient's life.	ncit:C39536			
VD	RANDOMIZED_STATUS	Enum	Tier 1	The allocation of individuals to groups by chance, especially in order to control the variables in an experiment.	ncit:C25196	_undefined_	_undefined_	_undefined_			
PD						Randomized	The allocation of individuals to groups by chance, especially in order to control the variables in an experiment.	ncit:C25196			
