INFO	Title	PCDC Data Model										
INFO	Name	pcdc_v1.8										
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/pcdc-model/pcdc_v1.8										
INFO	Used By	all_v1.1, all_v1.0, aml_v1.7, aml_v1.6, aml_v1.5, aml_v1.4, aml_v1.3, aml_v1.2, aml_v1.1, aml_v1.0, ews_v1.2, ews_v1.1, ews_v1.0, gct_v1.2, gct_v1.1, gct_v1.0, hl_v1.0, nbl_v1.1, nbl_v1.0, nrsts_v1.0, os_v1.2, os_v1.1, os_v1.0, rms_v1.0										
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)										
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/										
INFO	Description	Each disease group in the PCDC network uses a disease-specific data dictionary as the target schema for their data harmonization efforts. The PCDC data model is the full collection these consensus data elements.										
INFO	Total Variables	521										
												
RowType	VariableName	DataType	Tier	VariableSource	VariableDescription	VariableCode	PermissibleValue	ValueSource	ValueDescription	ValueCode	ImplementationNotes	Mappings
												
												
TD	Subject Identifier											
TG	Refer to each data dictionary for specific table implementation guidance											
VD	PCDC_SUBJECT_ID	String	n/a	all_v1.1|all_v1.0|aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|ews_v1.2|ews_v1.1|ews_v1.0|gct_v1.2|gct_v1.1|gct_v1.0|hl_v1.0|nbl_v1.1|nbl_v1.0|nrsts_v1.0|os_v1.2|os_v1.1|os_v1.0|rms_v1.0	A unique subject id assigned by the PCDC. Any given individual person will have only one PCDC_SUBJECT_ID regardless of the number of studies in which they appear. If an individual person is on studies from more than one contributor, they may have more than one HONEST_BROKER_SUBJECT_IDs assigned to them by the contributors, but will be resulted to a single PCDC_SUBJECT_ID by PCDC staff.	ncit:C69256|ncit:C175600|C69256	_undefined_	_undefined_	_undefined_	_undefined_		
												
												
TD	Subject Characteristics											
TG	Refer to each data dictionary for specific table implementation guidance											
VD	HONEST_BROKER_SUBJECT_ID	String	n/a	all_v1.1|all_v1.0|aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|ews_v1.2|ews_v1.1|ews_v1.0|gct_v1.2|gct_v1.1|gct_v1.0|hl_v1.0|nbl_v1.1|nbl_v1.0|nrsts_v1.0|os_v1.2|os_v1.1|os_v1.0|rms_v1.0	Subject identifier assigned by the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_	_undefined_		
VD	DATA_CONTRIBUTOR_ID	Code	n/a	all_v1.1|all_v1.0|aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|ews_v1.2|ews_v1.1|ews_v1.0|gct_v1.2|gct_v1.1|gct_v1.0|hl_v1.0|nbl_v1.1|nbl_v1.0|nrsts_v1.0|os_v1.2|os_v1.1|os_v1.0|rms_v1.0	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_	_undefined_		
