INFO	Title	Rhabdomyosarcoma (RMS) Data Dictionary									
INFO	Name	rms_v1.0									
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/rms/rms_v1.0									
INFO	Parent Data Model	pcdc_v1.8									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	Rhabdomyosarcoma (RMS) Data Dictionary									
INFO	Total Variables	63									
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
											
DD	Protocol										
TD	Subject Identifier										
TG	Will be included in every table										
VD	PCDC_SUBJECT_ID	String		A unique subject id assigned by the PCDC. Any given individual person will have only one PCDC_SUBJECT_ID regardless of the number of studies in which they appear. If an individual person is on studies from more than one contributor, they may have more than one HONEST_BROKER_SUBJECT_IDs assigned to them by the contributors, but will be resulted to a single PCDC_SUBJECT_ID by PCDC staff.		_undefined_	_undefined_	_undefined_			
											
											
DD	Protocol										
TD	Subject Characteristics										
TG	One row per subject per study										
VD	HONEST_BROKER_SUBJECT_ID	String		Subject identifier assigned by the honest broker.		_undefined_	_undefined_	_undefined_			
VD	DATA_CONTRIBUTOR_ID	Code		An identifier assigned to a data contributor.		_undefined_	_undefined_	_undefined_			
VD	STUDY_ID	Code		A sequence of characters used to identify, name, or characterize the study.		_undefined_	_undefined_	_undefined_			
VD	CENSOR_STATUS	Code		Censor Status		_undefined_	_undefined_	_undefined_			
PD						Subject is censored (i.e. has had no events(s)					
PD						Subject has had one or more events					
PD						Unknown					
VD	TREATMENT_ARM	Code		A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.		_undefined_	_undefined_	_undefined_			
PD						TBD					
											
											
DD	Protocol										
TD	Disease Phase Timing										
TG	One row per subject per disease phase										
VD	DISEASE_PHASE	Code		The stage or period of an individual's disease.		_undefined_	_undefined_	_undefined_			
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	C156813			
PD						Relapse	The return of a disease after a period of remission.	C38155			
PD						Progression	The worsening of a disease over time.	C17747			
VD	DISEASE_PHASE_NUMBER	Number		The number of the disease phase.		_undefined_	_undefined_	_undefined_			
VD	AGE_AT_DISEASE_PHASE	Number		Age in days when the diagnosis was made for the disease phase.		_undefined_	_undefined_	_undefined_			
VD	YEAR_AT_DISEASE_PHASE	Number		Year when the diagnosis was made for the disease phase.		_undefined_	_undefined_	_undefined_			
											
											
DD	Protocol										
TD	Course Timing										
TG	One row per subject per course										
VD	COURSE	Code		The type of protocol treatment course administered.		_undefined_	_undefined_	_undefined_			
PD						Prephase	A chemotherapy treatment administered prior to the definitive chemotherapy treatment.	C168826			
PD						Induction	The first choice of treatment for a particular type of cancer.	C158876			
PD						Intensification	A second round of intense chemotherapy as part of consolidation therapy.	C173105			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	C15679			
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	C15688			
VD	COURSE_NUMBER	Number		The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.		_undefined_	_undefined_	_undefined_			
VD	AGE_AT_COURSE_START	Number		Age of subject (in days) at the start of the course.		_undefined_	_undefined_	_undefined_			
VD	AGE_AT_COURSE_END	Number		Age of subject (in days) at the end of the course.		_undefined_	_undefined_	_undefined_			
											
											
DD	Demographics										
TD	Demographics										
TG	One row per subject										
VD	SEX	Code		The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.		_undefined_	_undefined_	_undefined_			
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	C20197			
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	C16576			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
VD	RACE	Code		An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.		_undefined_	_undefined_	_undefined_			
PD						American Indian or Alaska Native	A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB)	C41259			
PD						Asian	A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)	C41260			
PD						Black or African American	A person having origins in any of the Black racial groups of Africa. Terms such as "Haitian" or "Negro" can be used in addition to "Black or African American". (OMB)	C16352			
PD						Multiracial	Having ancestors of several or various races.	C67109			
PD						Native Hawaiian or Other Pacific Islander	A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)	C41219			
PD						White	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)	C41261			
PD						Other	Different than the one(s) previously specified or mentioned.	C17649			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
VD	ETHNICITY	Code		A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.		_undefined_	_undefined_	_undefined_			
PD						Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, "Spanish origin," can be used in addition to "Hispanic or Latino." (OMB)	C17459			
PD						Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.	C41222			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
											
											
DD	Demographics										
TD	Survival Characteristics										
TG	One row per subject per cause of death, per treatment type, per cause of death detail										
VD	AGE_AT_LKSS	Number		Age in Days at Last Known Survival		_undefined_	_undefined_	_undefined_			
VD	LKSS	Code		The individual's last known survival status.		_undefined_	_undefined_	_undefined_			
PD						Alive					
PD						Dead					
PD						Unknown					
